IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;Lat;Lon
1614727;Palmira;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,558389902;-76,22779846
1614728;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,399039984;-76,57649994
1614729;Yumbo;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,581275;-76,487673
1614730;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,399039984;-76,57649994
1614731;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,399039984;-76,57649994
1615226;Santiago De Cali;VALLE DEL CAUCA;Mercamio;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1615227;Santiago De Cali;VALLE DEL CAUCA;Mercar;Dtt;Smi;SMI M BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1615228;Santiago De Cali;VALLE DEL CAUCA;Surtifamiliar;Dtt;Smi;SMI M BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1615229;Santiago De Cali;VALLE DEL CAUCA;Rapimerque;Dtt;Smi;SMI M PREMIUM;Pacifico;Distrimarcas;;3,399039984;-76,57649994
1615242;Santiago De Cali;VALLE DEL CAUCA;Mercamio;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;3,399039984;-76,57649994
1615583;Santiago De Cali;VALLE DEL CAUCA;Distribuidora;Dtt;Distribuidora;DISTRIBUIDORA;Pacifico;Distribuidora;;3,399039984;-76,57649994
1615584;Santiago De Cali;VALLE DEL CAUCA;Distribuidora;Dtt;Distribuidora;DISTRIBUIDORA;Pacifico;Distribuidora;;3,399039984;-76,57649994
