IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;DiaEntregaPedido;DiaHoy;DiaRestante;Lat;Lon
1597360;Cartagena;BOLIVAR;Olimpica;Mt;Ka;SUPERG PREMIUM;Atlantico;Olimpica Sto;;0;1;6;10,410162;-75,550623
1597361;Neiva;HUILA;Olimpica;Mt;Ka;SUPERP PREMIUM;Centro;Olimpica Sto;;0;1;6;2,940533;-75,262813
1597362;Bogotá;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Olimpica Sao;;0;1;6;4,692862;-74,033807
1597363;Bogotá;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Olimpica Sao;;0;1;6;4,719663;-74,039643
1597364;Medellin;ANTIOQUIA;Olimpica;Mt;Ka;SUPERG BASIC;Antioquia-Choco;Olimpica Sto;;0;1;6;6,235773;-75,55563
1597365;Santiago De Cali;VALLE DEL CAUCA;Olimpica;Mt;Ka;SUPERP PREMIUM;Pacifico;Olimpica Sto;;0;1;6;3,399039984;-76,57649994
1597366;Medellin;ANTIOQUIA;Olimpica;Mt;Ka;SUPERP PREMIUM;Antioquia-Choco;Olimpica Sto;;0;1;6;6,16914;-75,585432
1597367;Girardot;CUNDINAMARCA;Homecenter;Mt;Club;CLUB;Centro;Homecenter;Lunes;1;1;0;4,338150024;-74,81140137
1597368;Ibagué;TOLIMA;Homecenter;Mt;Club;CLUB;Centro;Homecenter;Martes;2;1;1;4,438857;-75,186003
1597369;Medellin;ANTIOQUIA;Homecenter;Mt;Club;CLUB;Antioquia-Choco;Homecenter;Lunes;1;1;0;6,257589817;-75,61100006
1597370;Medellin;ANTIOQUIA;Homecenter;Mt;Club;CLUB;Antioquia-Choco;Homecenter;Lunes;1;1;0;6,233012;-75,60337
1597371;Medellin;ANTIOQUIA;Homecenter;Mt;Club;CLUB;Antioquia-Choco;Homecenter;Lunes;1;1;0;6,252972;-75,582818
1597372;Montería;CORDOBA;Homecenter;Mt;Club;CLUB;Atlantico;Homecenter;Lunes;1;1;0;8,777993;-75,862688
1597373;Neiva;HUILA;Homecenter;Mt;Club;CLUB;Centro;Homecenter;Lunes;1;1;0;2,954003;-75,287038
1597374;Palmira;VALLE DEL CAUCA;Homecenter;Mt;Club;CLUB;Pacifico;Homecenter;Sábado;6;1;5;3,558389902;-76,22779846
1597375;Pereira;RISARALDA;Homecenter;Mt;Club;CLUB;Eje Cafetero;Homecenter;Sábado;6;1;5;4,806585;-75,717405
1597376;Rionegro;ANTIOQUIA;Homecenter;Mt;Club;CLUB;Antioquia-Choco;Homecenter;Lunes;1;1;0;6,14825;-75,378447
1597377;Santa Marta;MAGDALENA;Homecenter;Mt;Club;CLUB;Atlantico;Homecenter;Martes;2;1;1;11,220695;-74,179367
1597378;Bogotá;BOGOTA D.C;Homecenter;Mt;Club;CLUB;Cundi-Boyaca;Homecenter;Lunes;1;1;0;4,589037;-74,205173
1597379;Bogotá;BOGOTA D.C;Homecenter;Mt;Club;CLUB;Cundi-Boyaca;Homecenter;Lunes;1;1;0;4,750617;-74,094828
1597380;Medellin;ANTIOQUIA;Homecenter;Mt;Club;CLUB;Antioquia-Choco;Homecenter;Lunes;1;1;0;6,1793;-75,593346
1597381;Manizales;CALDAS;Homecenter;Mt;Club;CLUB;Eje Cafetero;Homecenter;Sábado;6;1;5;5,064123;-75,497615
1597382;Bogotá;BOGOTA D.C;Homecenter;Mt;Club;CLUB;Cundi-Boyaca;Homecenter;Lunes;1;1;0;4,316110134;-74,18109894
1597383;Tulúa;VALLE DEL CAUCA;Homecenter;Mt;Club;CLUB;Pacifico;Homecenter;Sábado;6;1;5;4,028409958;-76,03250122
1597384;Valledupar;CESAR;Homecenter;Mt;Club;CLUB;Atlantico;Homecenter;Martes;2;1;1;10,493975;-73,267727
1597385;Villavicencio;META;Homecenter;Mt;Club;CLUB;Llanos;Homecenter;Martes;2;1;1;4,091670036;-73,49289703
1597386;Bogotá;BOGOTA D.C;Homesentry;Mt;Club;CLUB;Cundi-Boyaca;Homesentry;Sábado;6;1;5;4,316110134;-74,18109894
1597387;Bogotá;BOGOTA D.C;Homesentry;Mt;Club;CLUB;Cundi-Boyaca;Homesentry;Sábado;6;1;5;4,316110134;-74,18109894
1597388;Valledupar;CESAR;Olimpica;Mt;Ka;SUPERP BASIC;Atlantico;Olimpica Sto;;0;1;6;10,38230038;-73,46309662
1597389;Tunja;BOYACA;Paraiso;Dtt;Smi;SMI G BASIC;Cundi-Boyaca;Tropiboy;;0;1;6;5,523358;-73,36612
1597390;Tunja;BOYACA;Paraiso;Dtt;Smi;SMI G BASIC;Cundi-Boyaca;Tropiboy;;0;1;6;5,569588;-73,338413
1597391;Duitama;BOYACA;Paraiso;Dtt;Smi;SMI G BASIC;Cundi-Boyaca;Tropiboy;;0;1;6;5,825253;-73,033003
1597392;Duitama;BOYACA;Paraiso;Dtt;Smi;SMI G BASIC;Cundi-Boyaca;Tropiboy;;0;1;6;5,815042;-73,031282
1597393;Sogamoso;BOYACA;Paraiso;Dtt;Smi;SMI M BASIC;Cundi-Boyaca;Tropiboy;;0;1;6;5,72555;-72,922338
1597394;Duitama;BOYACA;Pasadena;Dtt;Smi;SMI M PREMIUM;Cundi-Boyaca;Pastor J Duitama;;0;1;6;5,823345;-73,026282
1597395;Sogamoso;BOYACA;Pasadena;Dtt;Smi;SMI M BASIC;Cundi-Boyaca;Pastor J Duitama;;0;1;6;5,717655;-72,926165
1597396;Paipa;BOYACA;Pasadena;Dtt;Smi;SMI P;Cundi-Boyaca;Pastor J Duitama;;0;1;6;5,779947;-73,116142
1597397;Bucaramanga;SANTANDER;Pastor J Bucaramanga;Dtt;Mayorista;MAYORISTA;Santanderes;Pastor J Bucaramanga;;0;1;6;7,155829906;-73,11160278
1597398;Cúcuta;NORTE DE SANTANDER;Pastor J Cucuta;Dtt;Mayorista;MAYORISTA;Santanderes;Pastor J Cucuta;;0;1;6;8,112030029;-72,48860168
1597399;Ibagué;TOLIMA;Popular;Dtt;Smi;SMI M BASIC;Centro;Surtilima;;0;1;6;4,451920033;-75,25260162
1597400;Ibagué;TOLIMA;Popular;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,451920033;-75,25260162
1597401;Neiva;HUILA;Popular;Dtt;Smi;SMI P;Centro;Tropicana;;0;1;6;2,928032;-75,292292
1597402;Neiva;HUILA;Popular;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;2,938818;-75,285557
1597403;Neiva;HUILA;Popular;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;2,939875;-75,268418
1597404;Neiva;HUILA;Popular;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;2,94014;-75,25265
1597405;Neiva;HUILA;Popular;Dtt;Smi;SMI P;Centro;Tropicana;;0;1;6;2,893793;-75,280973
1597406;Barranquilla;ATLÁNTICO;Pricesmart;Mt;Club;CLUB;Atlantico;Pricesmart;;0;1;6;11,01862;-74,835618
1597407;Santiago De Cali;VALLE DEL CAUCA;Pricesmart;Mt;Club;CLUB;Pacifico;Pricesmart;;0;1;6;3,399039984;-76,57649994
1597408;Chía;CUNDINAMARCA;Pricesmart;Mt;Club;CLUB;Cundi-Boyaca;Pricesmart;;0;1;6;4,882159;-74,015872
1597409;Medellin;ANTIOQUIA;Pricesmart;Mt;Club;CLUB;Antioquia-Choco;Pricesmart;;0;1;6;6,257589817;-75,61100006
1598357;Cartagena;BOLIVAR;Distrialidos;Dtt;Mayorista;MAYORISTA;Atlantico;Distrialidos;;0;1;6;10,44919968;-75,46990204
1598358;Cartagena;BOLIVAR;Distrialidos;Dtt;Mayorista;MAYORISTA;Atlantico;Distrialidos;;0;1;6;10,41157;-75,523087
1598359;Cartagena;BOLIVAR;Distrialidos;Dtt;Mayorista;MAYORISTA;Atlantico;Distrialidos;;0;1;6;10,412022;-75,5237
1599303;Caucasia;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;HIPERMERCADO;Antioquia-Choco;Exito;Miercoles - Sabado;3;1;2;7,867939949;-75,03500366
1599304;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,316110134;-74,18109894
1599305;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Pacifico;Exito;Lunes - Viernes;1;1;0;3,399039984;-76,57649994
1599306;Fusagasugá;CUNDINAMARCA;Grupo Comercial Éxito;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Exito;Miercoles - Lunes;1;1;0;4,323530197;-74,38860321
1599307;Florencia;CAQUETA;Grupo Comercial Éxito;Mt;Ka;HIPERMERCADO;Atlantico;Exito;Jueves;4;1;3;1,749140024;-75,55819702
1599308;Riohacha;LA GUAJIRA;Grupo Comercial Éxito;Mt;Ka;HIPERMERCADO;Atlantico;Exito;Jueves;4;1;3;11,24300003;-72,95880127
1599309;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERG;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,316110134;-74,18109894
